FCLTY_NM,RDNMADR_NM,CTPRVN_CD,SIGNGU_CD,FCLTY_LO,FCLTY_LA,AREA_NM,REPRSNT_MENU_NM,MENU_PRC,BASE_DE
신식당,전라남도 담양군 담양읍 담주리 68,46,46710,126.98127,35.321459,전남,떡갈비,,2021-12-31
용금옥,서울특별시 중구 다동 165-1,11,11140,126.98054,37.567663,서울,추탕,,2021-12-31
은호식당,서울특별시 중구 남창동 50-43,11,11140,126.977013,37.559019,서울,꼬리토막,,2021-12-31
곰보추탕,서울특별시 동대문구 용신동 767-6,11,11230,127.026739,37.57874,서울,추탕,,2021-12-31
잼배옥,서울특별시 중구 서소문동 64-4,11,11140,126.973728,37.562505,서울,설렁탕,,2021-12-31
연춘,충청남도 아산시 득산동 15-1,44,44200,126.976271,36.775717,충남,장어구이,,2021-12-31
청진옥,서울특별시 종로구 종로1가 24,11,11110,126.97984,37.570847,서울,해장국,,2021-12-31
진주회관,충청남도 천안시 서북구 성환읍 성환리 449-175,44,44133,127.129631,36.916933,충남,불고기,,2021-12-31
하동관,서울특별시 중구 명동1가 10-4,11,11140,126.985111,37.564459,서울,곰탕,,2021-12-31
한일관(서울),서울특별시 강남구 신사동 619-4,11,11680,127.032492,37.527833,서울,"불고기, 냉면",,2021-12-31
동래 할매 파전,부산광역시 동래구 복천동 367-2,26,26260,129.083814,35.204616,부산,동래파전,,2021-12-31
영명식당,전라남도 영암군 학산면 독천리 184,46,46830,126.56734,34.724923,전남,갈낙탕,,2021-12-31
옥천옥,서울특별시 동대문구 신설동 94-57,11,11230,127.026979,37.57247,서울,설렁탕,,2021-12-31
소복식당,충청남도 예산군 예산읍 예산리 210-10,44,44810,126.850225,36.679576,충남,소갈비,,2021-12-31
할머니집,경기도 오산시 오산동 432-1,41,41370,127.069127,37.15373,경기,소머리국밥,,2021-12-31
전통 경주할매집,경상북도 경주시 황남동 200-2,47,47130,129.215999,35.835816,경북,쌈밥정식,,2021-12-31
남성식당,경상남도 창원시 마산합포구 오동동 251-8,48,48125,128.579257,35.20498,경남,복국,,2021-12-31
삼백집,전라북도 전주시 완산구 고사동 454-1,45,45111,127.141123,35.817917,전북,콩나물국밥,,2021-12-31
평양옥(인천),인천광역시 중구 신흥동 3가 18,28,28110,126.638665,37.463861,인천,해장국,,2021-12-31
하연옥,경상남도 진주시 이현동 1191,48,48170,128.060668,35.19392,경남,진주물냉면,,2021-12-31
국일 따로국밥,대구광역시 중구 전동 7-1,27,30140,128.593168,35.871113,대구,따로국밥,,2021-12-31
송정3대 국밥,부산광역시 부산광역시진구 부전2동 255-15,26,26230,129.075086,35.179843,부산,돼지국밥,,2021-12-31
우래옥,서울특별시 중구 주교동 118-1,11,11140,126.998735,37.568198,서울,평양냉면,,2021-12-31
할머니 묵집,대전광역시 유성구 봉산동 709-16,30,30200,127.383839,36.446171,대전,묵밥,,2021-12-31
부여집,서울특별시 영등포구 당산동 2가 162-13,11,11560,126.89221,37.524294,서울,꼬리곰탕,,2021-12-31
강서면옥,서울특별시 중구 서소문동 120-15,11,11140,126.973962,37.562011,서울,평양냉면,,2021-12-31
옥돌집,서울특별시 성북구 길음동 1065,11,11290,127.027272,37.606523,서울,불고기,,2021-12-31
육거리 곰탕,경상남도 진주시 강남동 119,48,48170,128.086268,35.1858,경남,곰탕,,2021-12-31
원조 창평시장 국밥,전라남도 담양군 창평면 창평리 209-8,46,46710,127.01488,35.237963,전남,국밥,,2021-12-31
경희식당,충청북도 보은군 속리산면 사내7길 11-4,43,43720,127.821575,36.532407,충북,한정식,,2021-12-31
급행장,부산광역시 부산광역시진구 부전1동 259-27,26,26230,129.075086,35.179843,부산,소갈비구이,,2021-12-31
명동 할매낙지,서울특별시 중구 명동 2가 31-7,11,11140,126.985109,37.562152,서울,낙지백반,,2021-12-31
진주집,서울특별시 중구 남창동 34-31,11,11140,126.97709,37.560029,서울,꼬리곰탕,,2021-12-31
포항 할매집,경상북도 영천시 완산동 982-3,47,47230,128.93851,35.963997,경북,곰탕,,2021-12-31
강산면옥,대구광역시 중구 교동 62-1,27,30140,128.596332,35.873621,대구,물냉면,,2021-12-31
고래고기 원조 할매집,울산광역시 남구 장생포동 335-2,31,31140,129.369616,35.501735,울산,고래수육,,2021-12-31
불로식당,경상남도 창원시 마산합포구 동성동 153,48,48125,128.576513,35.205327,경남,한정식,,2021-12-31
천안곰탕,부산광역시 중구 광복동 1가 5-14,26,26110,129.034576,35.099314,부산,곰탕,,2021-12-31
평양옥(대전),대전광역시 서구 만년동 314,30,30170,127.380772,36.368739,대전,영양탕,,2021-12-31
호동식당,경상남도 통영시 서호동 117-102,48,48220,128.418777,34.843646,경남,복국,,2021-12-31
국일식당,전라남도 보성군 벌교읍 벌교리 641,46,46780,127.343359,34.844001,전남,꼬막정식,,2021-12-31
문화옥,서울특별시 중구 주교동 118-3,11,11140,126.998475,37.568132,서울,설렁탕,,2021-12-31
옥천냉면,경기도 양평군 옥천면 옥천리 884-12,41,41830,127.449725,37.510844,경기,냉면,,2021-12-31
이학식당,충청남도 공주시 중동 147-58,44,44150,127.124123,36.45493,충남,따로국밥,,2021-12-31
평양냉면,충청남도 천안시 동남구 사직동 168-9,44,44130,127.149659,36.802036,충남,냉면,,2021-12-31
한국집,전라북도 전주시 완산구 전동 2-1,45,45111,127.148243,35.816417,전북,육회비빔밥,,2021-12-31
다신식당,강원도 속초시 청호동 838,42,42210,128.593823,38.202848,강원,가리국밥,,2021-12-31
연남서식당,서울특별시 마포구 노고산동 109-69,11,11440,126.935324,37.553704,서울,소갈비,,2021-12-31
옛집식당,대구광역시 중구 시장북로 120-2,27,30140,128.581747,35.872052,대구,육개장,,2021-12-31
우리옥,인천광역시 강화군 강화읍 신문리 184,28,28110,126.483796,37.746083,인천,백반,,2021-12-31
원산면옥,부산광역시 중구 창선동 1가 37,26,26110,129.03089,35.099237,부산,냉면,,2021-12-31
하동복집,경상남도 진주시 대안동 8-170,48,48170,128.08496,35.194708,경남,복국,,2021-12-31
한일관(전북),전라북도 완산구 중화산동 2가 4-34,45,45111,127.128002,35.817633,전북,"한정식, 전주비빔밥",,2021-12-31
고성회관,강원도 속초시 중앙동 481-1,42,42210,128.590886,38.202529,강원,오징어순대,,2021-12-31
남들갈비,충청북도 청주 흥덕구 모충동 120-15,43,43113,127.487519,36.622832,충북,돼지갈비,,2021-12-31
소문난3대 할매김밥집,경상남도 통영시 서호동 177-360,48,48220,128.421135,34.84078,경남,충무김밥,,2021-12-31
새진주식당,부산광역시 중구 보수동 1가 77-6,26,26110,129.024883,35.104769,부산,비빔밥,,2021-12-31
시내식당,전라남도 광양시 광양읍 칠성리 964-1,46,46230,127.579549,34.969323,전남,광양불고기,,2021-12-31
옥산 장날 순대,충청북도 청원군 옥산면 오산리 211-26,43,43710,127.373258,36.665462,충북,순대국밥,,2021-12-31
경주 원조콩국,경상북도 경주시 황남동 142-2,47,47130,129.214722,35.833396,경북,콩국수,,2021-12-31
대들보 함흥면옥,대전광역시 중구 유천1동 311-13,30,30140,127.395204,36.319731,대전,냉면,,2021-12-31
마포 진짜원조 최대포,서울특별시 마포구 공덕동 255-5,11,11440,126.952066,37.544546,서울,돼지갈비,,2021-12-31
송월관,경기도 동두천시 생연2동 683-24,41,41250,127.054941,37.900875,경기,떡갈비,,2021-12-31
양산도집,부산광역시 사상구 감전동 516,26,26530,128.969744,35.130768,부산,민물장어구이,,2021-12-31
열차집,서울특별시 종로구 공평동 130-1,11,11110,126.982783,37.57171,서울,빈대떡,,2021-12-31
목리 장어센터,전라남도 강진군 강진읍 목리 31-1,46,46810,126.780689,34.633847,전남,장어구이,,2021-12-31
